id_pais,ano,valor
153,2007,0.681
153,2008,0.691
153,2009,0.691
153,2010,0.7
153,2011,0.711
153,2012,0.716
153,2013,0.729
153,2014,0.731
153,2015,0.738
153,2016,0.736
153,2017,0.739
153,2018,0.742
153,2019,0.746
153,2020,0.742
153,2021,0.73
153,2022,0.731
154,1990,0.62
154,1991,0.624
154,1992,0.624
154,1993,0.628
154,1994,0.637
154,1995,0.646
154,1996,0.65
154,1997,0.655
154,1998,0.663
154,1999,0.672
154,2000,0.675
154,2001,0.683
154,2002,0.684
154,2003,0.683
154,2004,0.69
154,2005,0.685
154,2006,0.69
154,2007,0.7
154,2008,0.707
154,2009,0.711
154,2010,0.725
154,2011,0.731
154,2012,0.741
154,2013,0.749
154,2014,0.754
154,2015,0.758
154,2016,0.764
154,2017,0.765
154,2018,0.77
154,2019,0.774
154,2020,0.758
154,2021,0.755
154,2022,0.762
155,1990,0.598
155,1991,0.6
155,1992,0.604
155,1993,0.606
155,1994,0.611
155,1995,0.614
155,1996,0.622
155,1997,0.627
155,1998,0.632
155,1999,0.635
155,2000,0.635
155,2001,0.64
155,2002,0.646
155,2003,0.652
155,2004,0.658
155,2005,0.659
155,2006,0.659
155,2007,0.663
155,2008,0.666
155,2009,0.666
155,2010,0.673
155,2011,0.677
155,2012,0.684
155,2013,0.689
155,2014,0.693
155,2015,0.696
155,2016,0.696
155,2017,0.7
155,2018,0.706
155,2019,0.714
155,2020,0.705
155,2021,0.692
155,2022,0.71
156,1990,0.715
156,1991,0.711
156,1992,0.716
156,1993,0.73
156,1994,0.74
156,1995,0.747
156,1996,0.756
156,1997,0.767
156,1998,0.777
156,1999,0.784
156,2000,0.794
156,2001,0.802
156,2002,0.809
156,2003,0.814
156,2004,0.812
156,2005,0.819
156,2006,0.824
156,2007,0.828
156,2008,0.834
156,2009,0.838
156,2010,0.845
156,2011,0.851
156,2012,0.855
156,2013,0.865
156,2014,0.867
156,2015,0.869
156,2016,0.872
156,2017,0.874
156,2018,0.876
156,2019,0.88
156,2020,0.874
156,2021,0.876
156,2022,0.881
157,1990,0.703
157,1991,0.714
157,1992,0.731
157,1993,0.747
157,1994,0.76
157,1995,0.768
157,1996,0.777
157,1997,0.784
157,1998,0.791
157,1999,0.788
157,2000,0.793
157,2001,0.797
157,2002,0.8
157,2003,0.803
157,2004,0.811
157,2005,0.813
157,2006,0.819
157,2007,0.822
157,2008,0.825
157,2009,0.827
157,2010,0.831
157,2011,0.836
157,2012,0.837
157,2013,0.842
157,2014,0.847
157,2015,0.85
157,2016,0.851
157,2017,0.857
157,2018,0.858
157,2019,0.864
