id_unidade,cod_equipamento,nome_unidade,num_unidade,data_entrada_teste,data_entrada_operacao,data_desativacao,potencia_efetiva,combustivel,id_usina
4783,MGIRA40UGR2,UG 16P0 MW JAN_IRAPURU 4            R2 MG,,2024-12-19,2025-01-01,,16.039,FOTOVOLTAICA,1706
4784,MGIRA40UGR3,UG 16P0 MW JAN_IRAPURU 4            R3 MG,,2024-12-19,2025-01-01,,16.039,FOTOVOLTAICA,1706
4785,MGIRA40UGR1,UG 16P0 MW JAN_IRAPURU 4            R1 MG,,2024-12-19,2025-01-01,,16.039,FOTOVOLTAICA,1706
4786,MGIRA50UGR1,UG 16P0 MW JAN_IRAPURU 5            R1 MG,,2024-12-19,2025-01-01,,16.039,FOTOVOLTAICA,1707
4787,MGIRA50UGR2,UG 16P0 MW JAN_IRAPURU 5            R2 MG,,2024-12-19,2025-01-01,,16.039,FOTOVOLTAICA,1707
4788,MGIRA50UGR3,UG 16P0 MW JAN_IRAPURU 5            R3 MG,,2024-12-19,2025-01-01,,16.039,FOTOVOLTAICA,1707
4789,MGIRA60UGR2,UG 16P0 MW JAN_IRAPURU 6            R2 MG,,2024-12-19,2025-01-01,,16.039,FOTOVOLTAICA,1708
4790,MGIRA60UGR1,UG 16P0 MW JAN_IRAPURU 6            R1 MG,,2024-12-19,2025-01-01,,16.039,FOTOVOLTAICA,1708
4791,MGIRA60UGR3,UG 16P0 MW JAN_IRAPURU 6            R3 MG,,2024-12-19,2025-01-01,,16.039,FOTOVOLTAICA,1708
4792,MGIRA70UGR3,UG 16P0 MW JAN_IRAPURU 7            R3 MG,,2024-12-19,2025-01-01,,16.039,FOTOVOLTAICA,1709
4793,MGIRA70UGR1,UG 16P0 MW JAN_IRAPURU 7            R1 MG,,2024-12-19,2025-01-01,,16.039,FOTOVOLTAICA,1709
4794,MGIRA70UGR2,UG 16P0 MW JAN_IRAPURU 7            R2 MG,,2024-12-19,2025-01-01,,16.039,FOTOVOLTAICA,1709
4795,MGVZP30UGR1,UG 12P2 MW VZP_VARZEA 3             R1 MG,,2024-05-15,2024-06-15,,12.27276,FOTOVOLTAICA,1710
4796,MGVZP30UGR2,UG 16P3 MW VZP_VARZEA 3             R2 MG,,2024-05-15,2024-06-15,,16.36368,FOTOVOLTAICA,1710
4797,MGVZP30UGR3,UG 16P3 MW VZP_VARZEA 3             R3 MG,,2024-05-15,2024-06-15,,16.36368,FOTOVOLTAICA,1710
4798,MGVZP40UGR2,UG 16P3 MW VZP_VARZEA 4             R5 MG,,2024-05-15,2024-06-15,,16.36368,FOTOVOLTAICA,1711
4799,MGVZP40UGR3,UG 16P3 MW VZP_VARZEA 4             R6 MG,,2024-05-15,2024-06-15,,16.36368,FOTOVOLTAICA,1711
4800,MGVZP40UGR1,UG 12P2 MW VZP_VARZEA 4             R4 MG,,2024-05-15,2024-06-15,,12.27276,FOTOVOLTAICA,1711
